Date,CIS,EU,UK,,GachaBalanceType,RouletteBalanceType
5/1/2024,Gacha_Base,"RouletteBase,Gacha_Base",,,Gacha_Base,RouletteBase
5/2/2024,Gacha_Base,"RouletteBase,Gacha_Base",,,Gacha_Rare,RouletteEpic
5/3/2024,Gacha_Base,"RouletteBase,Gacha_Base,Gacha_Rare",,,,
5/4/2024,"Gacha_Base,Gacha_Rare","RouletteBase,Gacha_Base,Gacha_Rare",,,,
5/5/2024,"Gacha_Base,Gacha_Rare","Gacha_Base,Gacha_Rare",,,,
5/6/2024,Gacha_Rare,Gacha_Rare,,,,
5/7/2024,Gacha_Rare,Gacha_Rare,,,,
5/8/2024,Gacha_Rare,Gacha_Rare,RouletteEpic,,,
5/9/2024,,Gacha_Rare,"RouletteEpic,Gacha_Rare",,,
5/10/2024,,,Gacha_Rare,,,
5/11/2024,,,"Gacha_Rare,Gacha_Base",,,
5/12/2024,,,Gacha_Base,,,
5/13/2024,,,Gacha_Base,,,
